Name,Home City,Home Country,Latitude,Longitude,Still Going?,Legendary,Albums,Guitars to Synths (1-5),Artsy to Populist (1-5),Loudness,Coolness,First Album Release Date,Last album released,New Entry
Late of the Pier,Derby,UK,52.923,-1.475,,,1,4,3,4,3,2008-07-30,2008-07-30,
Friendly Fires,St Albans,UK,51.753,-0.339,checked,,2,4,3,3,4,2008-09-01,2011-05-16,
Glasvegas,Glasgow,UK,55.864,-4.252,checked,,3,2,2,2,3,2008-09-08,2013-09-02,
White Lies,London,UK,51.507,-0.128,checked,,5,2,4,3,2,2009-01-19,2019-02-01,
La Roux,London,UK,51.507,-0.128,checked,,2,4,4,3,4,2009-06-26,2014-07-18,
Bombay Bicycle Club,London,UK,51.507,-0.128,checked,,4,2,3,1,2,2009-07-03,2014-02-03,
Florence and the Machine,London,UK,51.507,-0.128,checked,checked,4,2,4,2,3,2009-07-03,2018-06-29,
Little Boots,Blackpool,UK,53.818,-3.036,checked,,3,4,4,3,2,2009-07-05,2015-07-10,
Dead Weather,Nashville,USA,36.163,-86.782,checked,,3,1,3,4,3,2009-07-14,2015-09-25,
The XX,London,UK,51.507,-0.128,checked,,3,3,2,3,4,2009-08-14,2017-01-13,
Mumford & Sons,London,UK,51.507,-0.128,checked,,4,1,5,2,1,2009-10-05,2018-11-16,
Two Door Cinema Club,Bangor,UK,53.227,-4.129,checked,,4,3,4,2,2,2010-03-01,2019-06-14,
